2025-07-27 19:57:27,319 - INFO - === PDF TO JSON CONVERSION STARTED ===
2025-07-27 19:57:27,319 - INFO - Input PDF: /var/scratch/ave303/OP_bench/ORBIT_data.pdf
2025-07-27 19:57:27,319 - INFO - Output JSON: benchmark.json
2025-07-27 19:57:27,319 - INFO - Starting PDF extraction from: /var/scratch/ave303/OP_bench/ORBIT_data.pdf
2025-07-27 19:57:27,581 - INFO - PDF opened successfully. Total pages: 360
2025-07-27 19:57:40,723 - INFO - Parsing PDF content into sections...
2025-07-27 19:57:40,724 - INFO - Found section: REAL
2025-07-27 19:57:40,725 - INFO - Found section: ANIMATED
2025-07-27 19:57:40,725 - INFO - Found section: AI_GENERATED
2025-07-27 19:57:40,725 - INFO - Total sections found: 3
2025-07-27 19:57:40,725 - INFO - Processing section: REAL
2025-07-27 19:57:40,726 - INFO - Processed REAL Image 01: theme='kitchen', questions=3
2025-07-27 19:57:40,726 - INFO - Processed REAL Image 02: theme='zoo', questions=3
2025-07-27 19:57:40,726 - INFO - Processed REAL Image 03: theme='biking', questions=3
2025-07-27 19:57:40,726 - INFO - Processed REAL Image 04: theme='tools', questions=3
2025-07-27 19:57:40,726 - INFO - Processed REAL Image 05: theme='meeting room', questions=3
2025-07-27 19:57:40,726 - INFO - Processed REAL Image 06: theme='zoo', questions=3
2025-07-27 19:57:40,726 - INFO - Processed REAL Image 07: theme='urban', questions=3
2025-07-27 19:57:40,726 - INFO - Processed REAL Image 08: theme='zoo', questions=3
2025-07-27 19:57:40,726 - INFO - Processed REAL Image 09: theme='market', questions=3
2025-07-27 19:57:40,726 - INFO - Processed REAL Image 10: theme='tech', questions=3
2025-07-27 19:57:40,727 - INFO - Processed REAL Image 11: theme='meeting room', questions=3
2025-07-27 19:57:40,727 - INFO - Processed REAL Image 12: theme='gym', questions=3
2025-07-27 19:57:40,727 - INFO - Processed REAL Image 13: theme='bedroom', questions=3
2025-07-27 19:57:40,727 - INFO - Processed REAL Image 14: theme='classroom', questions=3
2025-07-27 19:57:40,727 - INFO - Processed REAL Image 15: theme='garage', questions=3
